indicator,value,country_code,country,year
CO2 emissions (metric tons per capita),3.69869438750069,NOR,Norway,1961
CO2 emissions (metric tons per capita),0.318179214166971,PAK,Pakistan,1961
CO2 emissions (metric tons per capita),3.13778417378114,QAT,Qatar,1961
CO2 emissions (metric tons per capita),6.49624827027879,SWE,Sweden,1961
CO2 emissions (metric tons per capita),15.6812555160569,USA,United States,1961
GDP growth (annual %),6.05816082548087,BGD,Bangladesh,1961
GDP growth (annual %),3.16329168371281,CAN,Canada,1961
GDP growth (annual %),6.37883247557396,DNK,Denmark,1961
GDP growth (annual %),5.16111414527542,EGY,"Egypt, Arab Rep.",1961
GDP growth (annual %),3.72274253269811,IND,India,1961
GDP growth (annual %),6.27333551040729,NOR,Norway,1961
GDP growth (annual %),5.98734641929046,PAK,Pakistan,1961
GDP growth (annual %),5.6815373442638,SWE,Sweden,1961
GDP growth (annual %),2.29999999999959,USA,United States,1961
GDP per capita (current US$),97.5952739108149,BGD,Bangladesh,1961
GDP per capita (current US$),2231.2938237478,CAN,Canada,1961
GDP per capita (current US$),1503.53701342816,DNK,Denmark,1961
GDP per capita (current US$),85.3543032175551,IND,India,1961
GDP per capita (current US$),1560.3249311723,NOR,Norway,1961
GDP per capita (current US$),88.0186442789439,PAK,Pakistan,1961
GDP per capita (current US$),2147.22931080409,SWE,Sweden,1961
GDP per capita (current US$),3066.56286916615,USA,United States,1961
GDP per capita growth (annual %),3.15904878142594,BGD,Bangladesh,1961
GDP per capita growth (annual %),1.11938696476589,CAN,Canada,1961
GDP per capita growth (annual %),5.63874355341893,DNK,Denmark,1961
GDP per capita growth (annual %),2.34307354544292,EGY,"Egypt, Arab Rep.",1961
GDP per capita growth (annual %),1.67048296716143,IND,India,1961
GDP per capita growth (annual %),5.43249315473308,NOR,Norway,1961
GDP per capita growth (annual %),3.51043006774607,PAK,Pakistan,1961
GDP per capita growth (annual %),5.18486209344312,SWE,Sweden,1961
GDP per capita growth (annual %),0.618121192654655,USA,United States,1961
GNI per capita (constant 2010 US$),334.104514571812,IND,India,1961
"Industry (including construction), value added (% of GDP)",6.79411774906471,BGD,Bangladesh,1961
"Industry (including construction), value added (% of GDP)",22.05468949655,EGY,"Egypt, Arab Rep.",1961
"Industry (including construction), value added (% of GDP)",21.5386490953191,IND,India,1961
"Industry (including construction), value added (% of GDP)",15.7965552861238,PAK,Pakistan,1961
"Life expectancy at birth, total (years)",53.312,ARE,United Arab Emirates,1961
"Life expectancy at birth, total (years)",46.46,BGD,Bangladesh,1961
"Life expectancy at birth, total (years)",71.3460975609756,CAN,Canada,1961
"Life expectancy at birth, total (years)",72.4382926829268,DNK,Denmark,1961
"Life expectancy at birth, total (years)",48.623,EGY,"Egypt, Arab Rep.",1961
"Life expectancy at birth, total (years)",41.794,IND,India,1961
"Life expectancy at birth, total (years)",73.5504878048781,NOR,Norway,1961
"Life expectancy at birth, total (years)",46.195,PAK,Pakistan,1961
"Life expectancy at birth, total (years)",61.848,QAT,Qatar,1961
"Life expectancy at birth, total (years)",73.4743902439024,SWE,Sweden,1961
"Life expectancy at birth, total (years)",70.2707317073171,USA,United States,1961
"Net primary income (BoP, current US$)",-877635693.977432,CAN,Canada,1961
Population density (people per sq. km of land area),1.4192621796677,ARE,United Arab Emirates,1961
Population density (people per sq. km of land area),379.218276100484,BGD,Bangladesh,1961
Population density (people per sq. km of land area),2.00923515782135,CAN,Canada,1961
Population density (people per sq. km of land area),108.843214538589,DNK,Denmark,1961
Population density (people per sq. km of land area),27.4913225174544,EGY,"Egypt, Arab Rep.",1961
Population density (people per sq. km of land area),154.595624564861,IND,India,1961
Population density (people per sq. km of land area),9.88325654747479,NOR,Norway,1961
Population density (people per sq. km of land area),59.7566819738481,PAK,Pakistan,1961
Population density (people per sq. km of land area),4.42902670111972,QAT,Qatar,1961
Population density (people per sq. km of land area),18.3262611492908,SWE,Sweden,1961
Population density (people per sq. km of land area),20.0558797068663,USA,United States,1961
Population growth (annual %),8.67769074398372,ARE,United Arab Emirates,1961
Population growth (annual %),2.77156705087846,BGD,Bangladesh,1961
Population growth (annual %),2.00112211044303,CAN,Canada,1961
Population growth (annual %),0.698142052204406,DNK,Denmark,1961
Population growth (annual %),2.71629589530722,EGY,"Egypt, Arab Rep.",1961
Population growth (annual %),1.99843774000741,IND,India,1961
Population growth (annual %),0.794353922504427,NOR,Norway,1961
Population growth (annual %),2.36473323540584,PAK,Pakistan,1961
Population growth (annual %),8.17620303597011,QAT,Qatar,1961
Population growth (annual %),0.471081377263699,SWE,Sweden,1961
Population growth (annual %),1.65773003738953,USA,United States,1961
"Birth rate, crude (per 1,000 people)",45.963,ARE,United Arab Emirates,1962
"Birth rate, crude (per 1,000 people)",49.15,BGD,Bangladesh,1962
"Birth rate, crude (per 1,000 people)",25.2,CAN,Canada,1962
"Birth rate, crude (per 1,000 people)",16.7,DNK,Denmark,1962
"Birth rate, crude (per 1,000 people)",45.977,EGY,"Egypt, Arab Rep.",1962
"Birth rate, crude (per 1,000 people)",41.594,IND,India,1962
"Birth rate, crude (per 1,000 people)",17.1,NOR,Norway,1962
"Birth rate, crude (per 1,000 people)",44.283,PAK,Pakistan,1962
"Birth rate, crude (per 1,000 people)",41.146,QAT,Qatar,1962
"Birth rate, crude (per 1,000 people)",14.2,SWE,Sweden,1962
"Birth rate, crude (per 1,000 people)",22.4,USA,United States,1962
CO2 emissions (metric tons per capita),0.163533063379654,ARE,United Arab Emirates,1962
CO2 emissions (metric tons per capita),11.1306274846889,CAN,Canada,1962
CO2 emissions (metric tons per capita),7.9451073610821,DNK,Denmark,1962
CO2 emissions (metric tons per capita),0.661467973256931,EGY,"Egypt, Arab Rep.",1962
CO2 emissions (metric tons per capita),0.305850958133351,IND,India,1962
CO2 emissions (metric tons per capita),3.86862605862512,NOR,Norway,1962
CO2 emissions (metric tons per capita),0.341225568963737,PAK,Pakistan,1962
CO2 emissions (metric tons per capita),3.38921474529878,QAT,Qatar,1962
CO2 emissions (metric tons per capita),6.78785977231238,SWE,Sweden,1962
CO2 emissions (metric tons per capita),16.0139374979897,USA,United States,1962
GDP growth (annual %),5.45303096987186,BGD,Bangladesh,1962
GDP growth (annual %),7.11677926679127,CAN,Canada,1962
GDP growth (annual %),5.66682217271799,DNK,Denmark,1962
GDP growth (annual %),3.87561672292931,EGY,"Egypt, Arab Rep.",1962
GDP growth (annual %),2.93112773665997,IND,India,1962
GDP growth (annual %),2.81394513844543,NOR,Norway,1962
GDP growth (annual %),4.48285862746644,PAK,Pakistan,1962
GDP growth (annual %),4.25877299399151,SWE,Sweden,1962
GDP growth (annual %),6.10000000000004,USA,United States,1962
GDP per capita (current US$),100.12211579079,BGD,Bangladesh,1962
GDP per capita (current US$),2255.23004413036,CAN,Canada,1962
GDP per capita (current US$),1681.0299129876,DNK,Denmark,1962
GDP per capita (current US$),89.8817588373612,IND,India,1962
GDP per capita (current US$),1667.2474297782,NOR,Norway,1962
GDP per capita (current US$),89.6863605547615,PAK,Pakistan,1962
GDP per capita (current US$),2315.84652740222,SWE,Sweden,1962
GDP per capita (current US$),3243.84307754988,USA,United States,1962
GDP per capita growth (annual %),2.56630888889948,BGD,Bangladesh,1962
GDP per capita growth (annual %),5.14293939956715,CAN,Canada,1962
GDP per capita growth (annual %),4.84744696606218,DNK,Denmark,1962
GDP per capita growth (annual %),1.11905447079192,EGY,"Egypt, Arab Rep.",1962
GDP per capita growth (annual %),0.860769628917481,IND,India,1962
GDP per capita growth (annual %),1.99124551879441,NOR,Norway,1962
GDP per capita growth (annual %),1.97333543001987,PAK,Pakistan,1962
GDP per capita growth (annual %),3.68533228698394,SWE,Sweden,1962
GDP per capita growth (annual %),4.4806693542335,USA,United States,1962
GNI per capita (constant 2010 US$),336.927727876346,IND,India,1962
"Industry (including construction), value added (% of GDP)",7.96386176172681,BGD,Bangladesh,1962
"Industry (including construction), value added (% of GDP)",24.7564785884948,EGY,"Egypt, Arab Rep.",1962
"Industry (including construction), value added (% of GDP)",22.1563684111495,IND,India,1962
"Industry (including construction), value added (% of GDP)",16.8568240783714,PAK,Pakistan,1962
"Life expectancy at birth, total (years)",54.349,ARE,United Arab Emirates,1962
"Life expectancy at birth, total (years)",47.086,BGD,Bangladesh,1962
"Life expectancy at birth, total (years)",71.3670731707317,CAN,Canada,1962
"Life expectancy at birth, total (years)",72.319756097561,DNK,Denmark,1962
"Life expectancy at birth, total (years)",49.147,EGY,"Egypt, Arab Rep.",1962
"Life expectancy at birth, total (years)",42.421,IND,India,1962
"Life expectancy at birth, total (years)",73.4480487804878,NOR,Norway,1962
"Life expectancy at birth, total (years)",47.085,PAK,Pakistan,1962
"Life expectancy at birth, total (years)",62.603,QAT,Qatar,1962
"Life expectancy at birth, total (years)",73.3504878048781,SWE,Sweden,1962
"Life expectancy at birth, total (years)",70.119512195122,USA,United States,1962
"Net primary income (BoP, current US$)",-993015301.445747,CAN,Canada,1962
Population density (people per sq. km of land area),1.57868206139116,ARE,United Arab Emirates,1962
Population density (people per sq. km of land area),389.891349773373,BGD,Bangladesh,1962
Population density (people per sq. km of land area),2.04695436635579,CAN,Canada,1962
Population density (people per sq. km of land area),109.693816379514,DNK,Denmark,1962
Population density (people per sq. km of land area),28.2407514189563,EGY,"Egypt, Arab Rep.",1962
Population density (people per sq. km of land area),157.768992227204,IND,India,1962
Population density (people per sq. km of land area),9.96297859970743,NOR,Norway,1962
Population density (people per sq. km of land area),61.2272701328352,PAK,Pakistan,1962
Population density (people per sq. km of land area),4.84599483204134,QAT,Qatar,1962
Population density (people per sq. km of land area),18.4276161232149,SWE,Sweden,1962
Population density (people per sq. km of land area),20.3667228593639,USA,United States,1962
Population growth (annual %),10.6453215796594,ARE,United Arab Emirates,1962
Population growth (annual %),2.77561442985394,BGD,Bangladesh,1962
Population growth (annual %),1.85988823339904,CAN,Canada,1962
Population growth (annual %),0.778454921649097,DNK,Denmark,1962
Population growth (annual %),2.68956105330825,EGY,"Egypt, Arab Rep.",1962
Population growth (annual %),2.03190545392019,IND,India,1962
Population growth (annual %),0.80340155650308,NOR,Norway,1962
Population growth (annual %),2.43116639210004,PAK,Pakistan,1962
Population growth (annual %),8.9972702331178,QAT,Qatar,1962
Population growth (annual %),0.55153490392046,SWE,Sweden,1962
Population growth (annual %),1.53799735825387,USA,United States,1962
"Birth rate, crude (per 1,000 people)",45.285,ARE,United Arab Emirates,1963
"Birth rate, crude (per 1,000 people)",49.142,BGD,Bangladesh,1963
"Birth rate, crude (per 1,000 people)",24.6,CAN,Canada,1963
"Birth rate, crude (per 1,000 people)",17.6,DNK,Denmark,1963
"Birth rate, crude (per 1,000 people)",45.424,EGY,"Egypt, Arab Rep.",1963
"Birth rate, crude (per 1,000 people)",41.308,IND,India,1963
"Birth rate, crude (per 1,000 people)",17.3,NOR,Norway,1963
"Birth rate, crude (per 1,000 people)",44.262,PAK,Pakistan,1963
"Birth rate, crude (per 1,000 people)",40.595,QAT,Qatar,1963
"Birth rate, crude (per 1,000 people)",14.8,SWE,Sweden,1963
"Birth rate, crude (per 1,000 people)",21.7,USA,United States,1963
CO2 emissions (metric tons per capita),0.175833133541117,ARE,United Arab Emirates,1963
CO2 emissions (metric tons per capita),11.132102404556,CAN,Canada,1963
CO2 emissions (metric tons per capita),8.68983130048716,DNK,Denmark,1963
CO2 emissions (metric tons per capita),0.746574073018948,EGY,"Egypt, Arab Rep.",1963
CO2 emissions (metric tons per capita),0.321794971750968,IND,India,1963
CO2 emissions (metric tons per capita),4.08651596861016,NOR,Norway,1963
CO2 emissions (metric tons per capita),0.382635167024505,PAK,Pakistan,1963
CO2 emissions (metric tons per capita),99.4646120941085,QAT,Qatar,1963
CO2 emissions (metric tons per capita),7.28160331853124,SWE,Sweden,1963
CO2 emissions (metric tons per capita),16.4827621458239,USA,United States,1963
GDP growth (annual %),-0.455894289938712,BGD,Bangladesh,1963
GDP growth (annual %),5.18177608227369,CAN,Canada,1963
GDP growth (annual %),0.637021234202422,DNK,Denmark,1963
GDP growth (annual %),10.5180926192111,EGY,"Egypt, Arab Rep.",1963
GDP growth (annual %),5.99435326095097,IND,India,1963
GDP growth (annual %),3.78504308366034,NOR,Norway,1963
GDP growth (annual %),8.68883151825305,PAK,Pakistan,1963
GDP growth (annual %),5.32789781057986,SWE,Sweden,1963
GDP growth (annual %),4.40000000000001,USA,United States,1963
GDP per capita (current US$),101.901414464052,BGD,Bangladesh,1963
GDP per capita (current US$),2354.83912197975,CAN,Canada,1963
GDP per capita (current US$),1775.37038468789,DNK,Denmark,1963
GDP per capita (current US$),101.126430601324,IND,India,1963
GDP per capita (current US$),1775.58265544979,NOR,Norway,1963
GDP per capita (current US$),93.8372054564046,PAK,Pakistan,1963
GDP per capita (current US$),2492.54534595494,SWE,Sweden,1963
GDP per capita (current US$),3374.51517105082,USA,United States,1963
GDP per capita growth (annual %),-3.22061599237695,BGD,Bangladesh,1963
GDP per capita growth (annual %),3.24053891560021,CAN,Canada,1963
GDP per capita growth (annual %),-0.152610055415749,DNK,Denmark,1963
GDP per capita growth (annual %),7.61219552049074,EGY,"Egypt, Arab Rep.",1963
GDP per capita growth (annual %),3.83641257447998,IND,India,1963
GDP per capita growth (annual %),3.00325931741783,NOR,Norway,1963
GDP per capita growth (annual %),6.0193644359825,PAK,Pakistan,1963
GDP per capita growth (annual %),4.73590409957419,SWE,Sweden,1963
GDP per capita growth (annual %),2.90827194808763,USA,United States,1963
GNI per capita (constant 2010 US$),349.992228436461,IND,India,1963
"Industry (including construction), value added (% of GDP)",7.80459286326725,BGD,Bangladesh,1963
"Industry (including construction), value added (% of GDP)",25.0480637187586,EGY,"Egypt, Arab Rep.",1963
"Industry (including construction), value added (% of GDP)",21.9788564984253,IND,India,1963
"Industry (including construction), value added (% of GDP)",18.462670307329,PAK,Pakistan,1963
"Life expectancy at birth, total (years)",55.375,ARE,United Arab Emirates,1963
"Life expectancy at birth, total (years)",47.694,BGD,Bangladesh,1963
"Life expectancy at birth, total (years)",71.3807317073171,CAN,Canada,1963
"Life expectancy at birth, total (years)",72.4004878048781,DNK,Denmark,1963
"Life expectancy at birth, total (years)",49.641,EGY,"Egypt, Arab Rep.",1963
"Life expectancy at birth, total (years)",43.057,IND,India,1963
"Life expectancy at birth, total (years)",73.0775609756098,NOR,Norway,1963
"Life expectancy at birth, total (years)",47.936,PAK,Pakistan,1963
"Life expectancy at birth, total (years)",63.356,QAT,Qatar,1963
"Life expectancy at birth, total (years)",73.5553658536585,SWE,Sweden,1963
"Life expectancy at birth, total (years)",69.9170731707317,USA,United States,1963
"Net primary income (BoP, current US$)",-1117514266.21315,CAN,Canada,1963
Population density (people per sq. km of land area),1.76189805688538,ARE,United Arab Emirates,1963
Population density (people per sq. km of land area),401.029476837981,BGD,Bangladesh,1963
Population density (people per sq. km of land area),2.08544335465623,CAN,Canada,1963
Population density (people per sq. km of land area),110.561316969554,DNK,Denmark,1963
Population density (people per sq. km of land area),29.0033482344668,EGY,"Egypt, Arab Rep.",1963
Population density (people per sq. km of land area),161.047766203976,IND,India,1963
Population density (people per sq. km of land area),10.038596546016,NOR,Norway,1963
Population density (people per sq. km of land area),62.7689147467829,PAK,Pakistan,1963
Population density (people per sq. km of land area),5.31576227390181,QAT,Qatar,1963
Population density (people per sq. km of land area),18.5317736511186,SWE,Sweden,1963
Population density (people per sq. km of land area),20.6619528854804,USA,United States,1963
Population growth (annual %),10.9801308770157,ARE,United Arab Emirates,1963
Population growth (annual %),2.81668229435924,BGD,Bangladesh,1963
Population growth (annual %),1.86284592763531,CAN,Canada,1963
Population growth (annual %),0.787727452841454,DNK,Denmark,1963
Population growth (annual %),2.66452590917994,EGY,"Egypt, Arab Rep.",1963
Population growth (annual %),2.0569116837358,IND,India,1963
Population growth (annual %),0.756123515554719,NOR,Norway,1963
Population growth (annual %),2.48672821403849,PAK,Pakistan,1963
Population growth (annual %),9.25238649152364,QAT,Qatar,1963
Population growth (annual %),0.563633784442054,SWE,Sweden,1963
Population growth (annual %),1.43916476170683,USA,United States,1963
"Birth rate, crude (per 1,000 people)",44.546,ARE,United Arab Emirates,1964
"Birth rate, crude (per 1,000 people)",49.091,BGD,Bangladesh,1964
"Birth rate, crude (per 1,000 people)",23.4,CAN,Canada,1964
"Birth rate, crude (per 1,000 people)",17.7,DNK,Denmark,1964
"Birth rate, crude (per 1,000 people)",44.914,EGY,"Egypt, Arab Rep.",1964
"Birth rate, crude (per 1,000 people)",41.004,IND,India,1964
"Birth rate, crude (per 1,000 people)",17.7,NOR,Norway,1964
"Birth rate, crude (per 1,000 people)",44.199,PAK,Pakistan,1964
"Birth rate, crude (per 1,000 people)",40.082,QAT,Qatar,1964
"Birth rate, crude (per 1,000 people)",16.0,SWE,Sweden,1964
"Birth rate, crude (per 1,000 people)",21.1,USA,United States,1964
CO2 emissions (metric tons per capita),0.132824781402357,ARE,United Arab Emirates,1964
CO2 emissions (metric tons per capita),12.3053704010349,CAN,Canada,1964
CO2 emissions (metric tons per capita),9.14639293937068,DNK,Denmark,1964
CO2 emissions (metric tons per capita),0.860935321872668,EGY,"Egypt, Arab Rep.",1964
CO2 emissions (metric tons per capita),0.308168699467371,IND,India,1964
CO2 emissions (metric tons per capita),4.38232793471308,NOR,Norway,1964
CO2 emissions (metric tons per capita),0.38356455234618,PAK,Pakistan,1964
CO2 emissions (metric tons per capita),92.8608619719978,QAT,Qatar,1964
CO2 emissions (metric tons per capita),7.88792163891657,SWE,Sweden,1964
CO2 emissions (metric tons per capita),16.9681185789701,USA,United States,1964
GDP growth (annual %),10.9527885460418,BGD,Bangladesh,1964
GDP growth (annual %),6.69945668193677,CAN,Canada,1964
GDP growth (annual %),9.26993821451796,DNK,Denmark,1964
GDP growth (annual %),11.5075774711604,EGY,"Egypt, Arab Rep.",1964
GDP growth (annual %),7.45295012233005,IND,India,1964
GDP growth (annual %),5.00965098662395,NOR,Norway,1964
GDP growth (annual %),7.56975744905721,PAK,Pakistan,1964
GDP growth (annual %),6.82145671417409,SWE,Sweden,1964
GDP growth (annual %),5.80000000000027,USA,United States,1964
GDP per capita (current US$),100.221113507985,BGD,Bangladesh,1964
GDP per capita (current US$),2529.5181790541,CAN,Canada,1964
GDP per capita (current US$),2013.24307693268,DNK,Denmark,1964
GDP per capita (current US$),115.537499785044,IND,India,1964
GDP per capita (current US$),1937.88461385928,NOR,Norway,1964
GDP per capita (current US$),103.378066844859,PAK,Pakistan,1964
GDP per capita (current US$),2758.94346624034,SWE,Sweden,1964
GDP per capita (current US$),3573.94118474743,USA,United States,1964
GDP per capita growth (annual %),7.77397291054108,BGD,Bangladesh,1964
GDP per capita growth (annual %),4.70626113926255,CAN,Canada,1964
GDP per capita growth (annual %),8.40011926479727,DNK,Denmark,1964
GDP per capita growth (annual %),8.59812957794703,EGY,"Egypt, Arab Rep.",1964
GDP per capita growth (annual %),5.2499140120855,IND,India,1964
GDP per capita growth (annual %),4.21939369926345,NOR,Norway,1964
GDP per capita growth (annual %),4.88131241313982,PAK,Pakistan,1964
GDP per capita growth (annual %),6.02634916652877,SWE,Sweden,1964
GDP per capita growth (annual %),4.34054896320295,USA,United States,1964
GNI per capita (constant 2010 US$),368.19807790832,IND,India,1964
"Industry (including construction), value added (% of GDP)",10.4230244561503,BGD,Bangladesh,1964
"Industry (including construction), value added (% of GDP)",25.040293040293,EGY,"Egypt, Arab Rep.",1964
"Industry (including construction), value added (% of GDP)",21.0439916628046,IND,India,1964
"Industry (including construction), value added (% of GDP)",19.0331873254022,PAK,Pakistan,1964
"Life expectancy at birth, total (years)",56.385,ARE,United Arab Emirates,1964
"Life expectancy at birth, total (years)",48.257,BGD,Bangladesh,1964
"Life expectancy at birth, total (years)",71.7763414634146,CAN,Canada,1964
"Life expectancy at birth, total (years)",72.4851219512195,DNK,Denmark,1964
"Life expectancy at birth, total (years)",50.113,EGY,"Egypt, Arab Rep.",1964
"Life expectancy at birth, total (years)",43.702,IND,India,1964
"Life expectancy at birth, total (years)",73.5958536585366,NOR,Norway,1964
"Life expectancy at birth, total (years)",48.747,PAK,Pakistan,1964
"Life expectancy at birth, total (years)",64.105,QAT,Qatar,1964
"Life expectancy at birth, total (years)",73.7331707317073,SWE,Sweden,1964
"Life expectancy at birth, total (years)",70.1658536585366,USA,United States,1964
"Net primary income (BoP, current US$)",-998216631.451939,CAN,Canada,1964
Population density (people per sq. km of land area),1.94366375668826,ARE,United Arab Emirates,1964
Population density (people per sq. km of land area),412.8579242529,BGD,Bangladesh,1964
Population density (people per sq. km of land area),2.12514199687469,CAN,Canada,1964
Population density (people per sq. km of land area),111.448477696483,DNK,Denmark,1964
Population density (people per sq. km of land area),29.7803757094781,EGY,"Egypt, Arab Rep.",1964
Population density (people per sq. km of land area),164.418733750618,IND,India,1964
Population density (people per sq. km of land area),10.1147155272706,NOR,Norway,1964
Population density (people per sq. km of land area),64.3778837173101,PAK,Pakistan,1964
Population density (people per sq. km of land area),5.81963824289406,QAT,Qatar,1964
Population density (people per sq. km of land area),18.6707462104596,SWE,Sweden,1964
Population density (people per sq. km of land area),20.9509594975849,USA,United States,1964
Population growth (annual %),9.81830570495781,ARE,United Arab Emirates,1964
Population growth (annual %),2.90685917743496,BGD,Bangladesh,1964
Population growth (annual %),1.88571494336137,CAN,Canada,1964
Population growth (annual %),0.799212891013953,DNK,Denmark,1964
Population growth (annual %),2.64383636612884,EGY,"Egypt, Arab Rep.",1964
Population growth (annual %),2.07154229053149,IND,India,1964
Population growth (annual %),0.755402813635902,NOR,Norway,1964
Population growth (annual %),2.53101907707619,PAK,Pakistan,1964
Population growth (annual %),9.0561681362164,QAT,Qatar,1964
Population growth (annual %),0.747117164606475,SWE,Sweden,1964
Population growth (annual %),1.38904605518369,USA,United States,1964
"Birth rate, crude (per 1,000 people)",43.703,ARE,United Arab Emirates,1965
"Birth rate, crude (per 1,000 people)",48.997,BGD,Bangladesh,1965
"Birth rate, crude (per 1,000 people)",21.3,CAN,Canada,1965
"Birth rate, crude (per 1,000 people)",18.0,DNK,Denmark,1965
"Birth rate, crude (per 1,000 people)",44.436,EGY,"Egypt, Arab Rep.",1965
"Birth rate, crude (per 1,000 people)",40.686,IND,India,1965
"Birth rate, crude (per 1,000 people)",17.8,NOR,Norway,1965
"Birth rate, crude (per 1,000 people)",44.093,PAK,Pakistan,1965
"Birth rate, crude (per 1,000 people)",39.568,QAT,Qatar,1965
"Birth rate, crude (per 1,000 people)",15.9,SWE,Sweden,1965
"Birth rate, crude (per 1,000 people)",19.4,USA,United States,1965
CO2 emissions (metric tons per capita),0.146819968369846,ARE,United Arab Emirates,1965
CO2 emissions (metric tons per capita),12.814001473727,CAN,Canada,1965
CO2 emissions (metric tons per capita),9.31657600359066,DNK,Denmark,1965
